Passenger,Gender,Customer_Type,Age,Type_of_Travel,Class,Flight_Distance,Inflight_wifi_service,Departure/Arrival_time_convenient,Food_and_drink,Seat_comfort,Inflight_entertainment,Inflight_service,Cleanliness,Departure_Delay_in_Minutes,Arrival_Delay_in_Minutes,satisfaction
38,Female,disloyal_Customer,32,Business_travel,Business,802,4,4,2,4,2,5,2,0,10,neutral_or_dissatisfied
40,Female,disloyal_Customer,42,Business_travel,Business,373,3,3,4,4,4,5,4,0,0,neutral_or_dissatisfied
99,Female,disloyal_Customer,40,Business_travel,Business,2419,2,2,4,4,4,5,4,0,0,neutral_or_dissatisfied
136,Female,disloyal_Customer,27,Business_travel,Business,2342,3,3,2,2,2,5,2,10,0,neutral_or_dissatisfied
157,Female,disloyal_Customer,49,Business_travel,Business,1416,3,4,2,2,2,4,2,0,0,neutral_or_dissatisfied
209,Female,disloyal_Customer,40,Business_travel,Business,825,4,4,5,5,5,5,5,0,4,satisfied
256,Female,disloyal_Customer,41,Business_travel,Business,371,2,2,1,1,1,1,1,35,30,neutral_or_dissatisfied
284,Female,disloyal_Customer,45,Business_travel,Business,1011,3,2,4,4,4,5,4,0,0,neutral_or_dissatisfied
335,Female,disloyal_Customer,21,Business_travel,Business,296,4,0,4,5,4,4,4,19,12,satisfied
365,Female,disloyal_Customer,28,Business_travel,Business,502,4,4,5,5,5,5,5,0,0,neutral_or_dissatisfied
493,Female,disloyal_Customer,39,Business_travel,Business,201,4,3,1,1,1,1,1,0,0,satisfied
51,Male,disloyal_Customer,24,Business_travel,Business,444,4,0,2,2,2,5,2,20,32,satisfied
55,Male,disloyal_Customer,27,Business_travel,Business,764,3,3,2,2,2,2,2,30,46,neutral_or_dissatisfied
133,Male,disloyal_Customer,39,Business_travel,Business,546,4,4,2,2,2,4,2,93,88,neutral_or_dissatisfied
139,Male,disloyal_Customer,48,Business_travel,Business,759,3,3,2,2,2,5,2,2,1,neutral_or_dissatisfied
143,Male,disloyal_Customer,26,Business_travel,Business,900,5,5,1,1,1,5,1,5,0,satisfied
168,Male,disloyal_Customer,38,Business_travel,Business,641,5,5,2,2,2,5,2,0,0,satisfied
171,Male,disloyal_Customer,23,Business_travel,Business,282,4,5,4,4,4,4,4,9,1,satisfied
172,Male,disloyal_Customer,25,Business_travel,Business,544,3,5,2,2,2,4,2,0,0,neutral_or_dissatisfied
187,Male,disloyal_Customer,40,Business_travel,Business,223,2,2,2,2,2,5,2,0,0,neutral_or_dissatisfied
199,Male,disloyal_Customer,25,Business_travel,Business,296,0,0,2,2,2,5,2,0,0,satisfied
219,Male,disloyal_Customer,38,Business_travel,Business,1562,3,3,2,2,2,4,2,2,25,neutral_or_dissatisfied
233,Male,disloyal_Customer,64,Business_travel,Business,293,3,3,3,3,3,4,3,3,0,neutral_or_dissatisfied
250,Male,disloyal_Customer,20,Business_travel,Business,271,0,0,1,1,1,4,1,0,0,satisfied
265,Male,disloyal_Customer,26,Business_travel,Business,280,2,2,2,2,2,3,2,0,6,neutral_or_dissatisfied
272,Male,disloyal_Customer,33,Business_travel,Business,423,4,4,4,4,4,5,4,0,5,neutral_or_dissatisfied
297,Male,disloyal_Customer,29,Business_travel,Business,1009,2,2,3,3,3,4,3,0,0,neutral_or_dissatisfied
384,Male,disloyal_Customer,39,Business_travel,Business,444,4,4,1,1,1,5,1,12,16,satisfied
388,Male,disloyal_Customer,29,Business_travel,Business,1099,1,1,3,5,3,2,3,51,51,neutral_or_dissatisfied
396,Male,disloyal_Customer,34,Business_travel,Business,414,3,3,1,1,1,5,1,2,0,neutral_or_dissatisfied
407,Male,disloyal_Customer,50,Business_travel,Business,641,2,2,1,1,1,5,1,7,17,neutral_or_dissatisfied
429,Male,disloyal_Customer,28,Business_travel,Business,319,5,5,4,5,4,4,4,0,0,satisfied
465,Male,disloyal_Customer,40,Business_travel,Business,449,4,4,3,3,3,4,3,4,0,satisfied
476,Male,disloyal_Customer,26,Business_travel,Business,1262,0,0,4,3,4,4,4,9,0,satisfied
1,Female,Loyal_Customer,36,Business_travel,Business,2863,1,1,5,5,4,4,5,0,0,satisfied
6,Female,Loyal_Customer,77,Business_travel,Business,3987,5,5,3,5,5,5,3,0,0,satisfied
7,Female,Loyal_Customer,43,Business_travel,Business,2556,2,2,4,5,4,4,3,77,65,satisfied
9,Female,Loyal_Customer,46,Business_travel,Business,1744,2,2,3,4,4,4,4,28,14,satisfied
11,Female,Loyal_Customer,33,Business_travel,Business,325,2,5,1,4,2,2,4,18,7,neutral_or_dissatisfied
